Auth,Year,Count
AR,2015,1
AR,2016,4
AR,2017,4
AR,2018,3
AR,2019,3
AR,2020,6
AR,2021,9
AR,2022,7
AR,2023,13
AU,2014,1
AU,2015,2
AU,2016,7
AU,2017,2
AU,2018,9
AU,2019,7
AU,2020,10
AU,2021,7
AU,2022,8
AU,2023,5
AU,2024,2
BR,2014,1
BR,2015,2
BR,2016,11
BR,2017,5
BR,2018,8
BR,2019,6
BR,2020,4
BR,2021,18
BR,2022,3
CA,2014,5
CA,2015,3
CA,2016,10
CA,2017,6
CA,2018,11
CA,2019,10
CA,2020,16
CA,2021,24
CA,2022,7
CL,2015,1
CL,2017,1
CL,2018,2
CL,2019,1
CL,2020,4
CL,2021,3
CL,2022,4
CL,2023,3
CL,2024,4
CN,2014,2
CN,2015,4
CN,2016,18
CN,2017,15
CN,2018,37
CN,2019,61
CN,2020,78
CN,2021,98
CN,2022,102
CN,2023,117
CN,2024,129
CO,2018,1
CO,2019,1
CO,2021,2
CO,2022,2
CO,2023,1
CO,2024,1
CR,2017,1
CR,2021,1
DK,2014,1
DK,2016,1
DK,2017,1
DK,2018,2
EA,2014,1
EA,2016,5
EA,2018,3
EA,2019,2
EC,2024,1
EP,2014,3
EP,2015,5
EP,2016,11
EP,2017,10
EP,2018,16
EP,2019,12
EP,2020,14
EP,2021,26
EP,2022,22
EP,2023,6
EP,2024,1
ES,2014,1
ES,2016,1
ES,2017,1
ES,2018,3
FI,2017,1
FI,2018,1
GB,2016,1
GB,2017,1
HK,2018,1
HR,2014,1
HU,2014,1
IL,2017,1
IL,2021,1
JP,2013,3
JP,2014,2
JP,2015,3
JP,2016,16
JP,2017,13
JP,2018,17
JP,2019,18
JP,2020,19
JP,2021,21
JP,2022,23
JP,2023,8
JP,2024,6
KR,2014,5
KR,2016,3
KR,2017,5
KR,2018,5
KR,2019,4
KR,2020,23
KR,2021,32
KR,2022,21
KR,2023,13
KR,2024,6
LT,2014,1
MX,2014,1
MX,2015,2
MX,2016,4
MX,2017,2
MX,2018,2
MX,2019,3
MX,2020,5
MX,2021,8
MX,2022,7
NZ,2014,3
PE,2020,1
PE,2022,1
PH,2019,1
PH,2020,2
PH,2021,1
PL,2014,1
PT,2014,1
PT,2018,1
RS,2014,1
RU,2016,1
RU,2019,1
SG,2018,1
SI,2014,1
TW,2016,1
US,2013,1
US,2014,6
US,2015,3
US,2016,11
US,2017,6
US,2018,23
US,2019,27
US,2020,26
US,2021,30
US,2022,23
US,2023,16
US,2024,6
UY,2016,1
UY,2017,3
UY,2020,2
UY,2021,7
UY,2022,2
WO,2014,1
WO,2015,3
WO,2016,17
WO,2017,16
WO,2018,23
WO,2019,18
WO,2020,21
WO,2021,40
WO,2022,31
WO,2023,19
WO,2024,7
