Auth,Country,Count
WO,US,61.833333333333336
WO,CN,39.0
WO,DE,20.5
WO,JP,12.333333333333334
WO,KR,9.666666666666666
WO,IL,9.333333333333332
WO,CH,7.0
WO,NL,6.0
WO,I,4.833333333333333
WO,IS,3.0
WO,UK,3.0
WO,FR,2.0
WO,AU,1.0
WO,BR,1.0
WO,CA,1.0
WO,DK,1.0
WO,SE,1.0
WO,IT,0.5
US,US,29.75
US,CN,9.0
US,CH,6.0
US,DE,5.5
US,JP,3.0
US,I,1.75
US,IL,1.0
US,IS,1.0
US,UK,1.0
EP,US,40.333333333333336
EP,DE,16.5
EP,CN,15.0
EP,JP,11.333333333333334
EP,NL,6.0
EP,CH,5.0
EP,IL,5.0
EP,IS,3.0
EP,UK,3.0
EP,KR,2.6666666666666665
EP,I,1.6666666666666667
EP,FR,1.5
EP,IT,1.5
EP,AU,1.0
EP,CA,1.0
EP,SE,1.0
EP,DK,0.5
