Auth,Country,Count
WO,US,70.83333333333333
WO,CN,39.0
WO,DE,21.5
WO,JP,12.0
WO,KR,11.0
WO,IL,9.333333333333332
WO,CH,7.0
WO,NL,6.0
WO,I,4.833333333333333
WO,IS,4.0
WO,UK,3.0
WO,FR,2.0
WO,AU,1.0
WO,BR,1.0
WO,CA,1.0
WO,DK,1.0
WO,SE,1.0
WO,IT,0.5
UY,US,10.0
UY,DE,3.0
UY,IL,1.0
UY,SE,1.0
US,US,94.75
US,I,46.75
US,CH,11.0
US,CN,9.0
US,DE,8.5
US,JP,4.0
US,CA,1.0
US,IL,1.0
US,IS,1.0
US,UK,1.0
TW,US,1.0
SI,US,1.0
SG,US,1.0
RU,CA,1.0
RS,US,1.0
PT,JP,1.0
PT,US,1.0
PL,US,1.0
PH,CN,2.0
PH,CH,1.0
PH,US,1.0
PE,CN,2.0
NZ,US,3.0
MX,US,17.0
MX,CH,5.0
MX,DE,3.0
MX,IL,3.0
MX,KR,2.0
MX,BR,1.0
MX,CA,1.0
MX,CN,1.0
MX,JP,1.0
LT,US,1.0
KR,KR,83.0
KR,US,11.333333333333334
KR,CN,7.0
KR,CH,5.0
KR,UK,3.0
KR,DE,2.0
KR,CA,1.0
KR,NL,1.0
KR,I,0.6666666666666666
JP,US,24.0
JP,CN,8.0
JP,JP,5.0
JP,KR,5.0
JP,DE,4.0
JP,CH,2.0
JP,CA,1.0
JP,IS,1.0
IL,US,1.5
IL,CA,0.5
HU,US,1.0
HR,US,1.0
HK,CA,1.0
GB,UK,2.0
FI,JP,1.0
FI,NL,1.0
ES,DE,2.0
ES,IL,1.0
ES,JP,1.0
ES,NL,1.0
ES,US,1.0
EP,US,46.333333333333336
EP,DE,18.5
EP,CN,15.0
EP,JP,12.0
EP,NL,6.0
EP,CH,5.0
EP,IL,5.0
EP,KR,4.0
EP,IS,3.0
EP,UK,3.0
EP,I,1.6666666666666667
EP,FR,1.5
EP,IT,1.5
EP,AU,1.0
EP,CA,1.0
EP,SE,1.0
EP,DK,0.5
EC,UK,1.0
EA,CN,1.0
DK,DE,2.0
DK,JP,1.0
DK,NL,1.0
DK,US,1.0
CR,CH,1.0
CR,US,1.0
CO,BR,1.0
CO,CH,1.0
CO,CN,1.0
CO,DE,1.0
CO,IL,1.0
CO,JP,1.0
CO,UK,1.0
CO,US,1.0
CN,CN,584.5
CN,US,23.5
CN,DE,23.0
CN,CH,7.0
CN,JP,5.0
CN,KR,4.0
CN,UK,2.0
CN,AU,1.0
CN,BR,1.0
CN,CA,1.0
CN,I,1.0
CN,IL,1.0
CN,NL,1.0
CL,US,10.0
CL,CN,3.0
CL,CH,2.0
CL,DE,2.0
CL,IL,2.0
CL,CA,1.0
CL,I,1.0
CL,JP,1.0
CL,SE,1.0
CA,US,45.0
CA,DE,13.5
CA,CN,9.0
CA,IL,7.0
CA,CH,4.0
CA,JP,3.0
CA,UK,3.0
CA,KR,2.0
CA,I,1.5
CA,CA,1.0
CA,FR,1.0
CA,IS,1.0
CA,NL,1.0
BR,US,24.0
BR,DE,10.0
BR,CN,8.0
BR,CH,3.0
BR,IL,3.0
BR,JP,3.0
BR,KR,2.0
BR,BR,1.0
BR,CA,1.0
BR,I,1.0
BR,NL,1.0
BR,SE,1.0
AU,US,17.833333333333332
AU,CN,11.0
AU,DE,10.5
AU,CH,5.0
AU,JP,3.0
AU,KR,3.0
AU,NL,2.0
AU,UK,2.0
AU,I,1.6666666666666667
AU,AU,1.0
AU,BR,1.0
AU,CA,1.0
AU,IL,1.0
AR,US,26.0
AR,CN,11.0
AR,DE,7.0
AR,CH,3.0
AR,IL,1.0
AR,KR,1.0
AR,UK,1.0
