Auth,Kind,Count
WO,F,126.66666666666667
WO,U,64.5
WO,I,4.833333333333333
UY,F,14.0
UY,U,1.0
US,F,74.5
US,U,56.75
US,I,46.75
TW,U,1.0
SI,F,1.0
SG,F,1.0
RU,F,1.0
RS,F,1.0
PT,F,1.0
PT,U,1.0
PL,F,1.0
PH,F,2.0
PH,U,2.0
PE,F,2.0
NZ,F,3.0
MX,F,29.0
MX,U,5.0
LT,F,1.0
KR,U,80.5
KR,F,32.833333333333336
KR,I,0.6666666666666666
JP,U,28.75
JP,F,21.25
IL,F,2.0
HU,F,1.0
HR,F,1.0
HK,F,1.0
GB,F,2.0
FI,F,1.0
FI,U,1.0
ES,F,5.0
ES,U,1.0
EP,F,91.83333333333333
EP,U,32.5
EP,I,1.6666666666666667
EC,F,1.0
EA,U,1.0
DK,F,4.0
DK,U,1.0
CR,F,1.0
CR,U,1.0
CO,F,7.0
CO,U,1.0
CN,U,517.5
CN,F,136.5
CN,I,1.0
CL,F,18.5
CL,U,3.5
CL,I,1.0
CA,F,72.5
CA,U,18.0
CA,I,1.5
BR,F,44.0
BR,U,13.0
BR,I,1.0
AU,F,42.333333333333336
AU,U,16.0
AU,I,1.6666666666666667
AR,F,40.0
AR,U,10.0
