Auth,Country,Count
WO,US,83.66666666666667
WO,CN,40.0
WO,DE,28.5
WO,JP,12.0
WO,IL,11.333333333333332
WO,KR,11.0
WO,CH,8.0
WO,I,7.0
WO,NL,6.0
WO,IS,4.0
WO,FR,3.0
WO,UK,3.0
WO,AU,1.0
WO,BR,1.0
WO,CA,1.0
WO,DK,1.0
WO,SE,1.0
WO,IT,0.5
UY,US,10.0
UY,DE,3.0
UY,IL,1.0
UY,SE,1.0
US,US,145.0
US,I,80.5
US,CH,20.0
US,CN,14.0
US,DE,11.5
US,JP,7.0
US,CA,2.0
US,IL,1.0
US,IS,1.0
US,UK,1.0
TW,US,2.0
SI,US,1.0
SG,US,1.0
RU,CA,2.0
RS,US,1.0
PT,JP,1.0
PT,US,1.0
PL,US,1.0
PH,CN,2.0
PH,CH,1.0
PH,US,1.0
PE,CN,2.0
NZ,US,3.0
MX,US,18.0
MX,CH,5.0
MX,DE,3.0
MX,IL,3.0
MX,KR,2.0
MX,BR,1.0
MX,CA,1.0
MX,CN,1.0
MX,JP,1.0
LT,US,1.0
KR,KR,115.0
KR,US,15.333333333333334
KR,CH,8.0
KR,CN,7.0
KR,UK,4.0
KR,DE,2.0
KR,NL,2.0
KR,CA,1.0
KR,I,0.6666666666666666
JP,US,41.0
JP,CN,9.0
JP,JP,8.0
JP,KR,8.0
JP,DE,5.0
JP,CH,3.0
JP,CA,1.0
JP,IS,1.0
IL,US,3.0
IL,CA,1.0
HU,US,1.0
HR,US,1.0
HK,CA,1.0
GB,UK,5.0
FI,JP,1.0
FI,NL,1.0
ES,DE,2.0
ES,IL,1.0
ES,JP,1.0
ES,NL,1.0
ES,US,1.0
EP,US,78.83333333333333
EP,CN,26.0
EP,DE,25.0
EP,JP,23.0
EP,IL,11.0
EP,CH,9.0
EP,IS,7.0
EP,KR,7.0
EP,NL,7.0
EP,UK,4.0
EP,I,2.666666666666667
EP,FR,2.5
EP,CA,2.0
EP,SE,2.0
EP,IT,1.5
EP,AU,1.0
EP,DK,0.5
EC,UK,1.0
EA,CN,2.0
DK,DE,4.0
DK,JP,2.0
DK,NL,1.0
DK,US,1.0
CR,CH,1.0
CR,US,1.0
CO,BR,1.0
CO,CH,1.0
CO,CN,1.0
CO,DE,1.0
CO,IL,1.0
CO,JP,1.0
CO,UK,1.0
CO,US,1.0
CN,CN,826.0000000000001
CN,US,31.0
CN,DE,25.0
CN,CH,7.0
CN,JP,7.0
CN,KR,5.0
CN,UK,2.0
CN,AU,1.0
CN,BR,1.0
CN,CA,1.0
CN,I,1.0
CN,IL,1.0
CN,NL,1.0
CL,US,10.0
CL,CN,3.0
CL,CH,2.0
CL,DE,2.0
CL,IL,2.0
CL,CA,1.0
CL,I,1.0
CL,JP,1.0
CL,SE,1.0
CA,US,50.0
CA,DE,13.5
CA,CN,9.0
CA,IL,8.0
CA,CH,4.0
CA,JP,3.0
CA,KR,3.0
CA,UK,3.0
CA,I,1.5
CA,CA,1.0
CA,FR,1.0
CA,IS,1.0
CA,NL,1.0
BR,US,26.0
BR,DE,10.0
BR,CN,8.0
BR,CH,3.0
BR,IL,3.0
BR,JP,3.0
BR,KR,2.0
BR,BR,1.0
BR,CA,1.0
BR,I,1.0
BR,NL,1.0
BR,SE,1.0
AU,US,23.833333333333332
AU,CN,16.0
AU,DE,10.5
AU,CH,6.0
AU,KR,6.0
AU,JP,4.0
AU,NL,4.0
AU,UK,2.0
AU,I,1.6666666666666667
AU,AU,1.0
AU,BR,1.0
AU,CA,1.0
AU,IL,1.0
AR,US,26.0
AR,CN,11.0
AR,DE,7.0
AR,CH,3.0
AR,IL,1.0
AR,KR,1.0
AR,UK,1.0
