Auth,Kind,Count
WO,F,142.5
WO,U,73.5
WO,I,7.0
UY,F,14.0
UY,U,1.0
US,F,111.5
US,U,91.0
US,I,80.5
TW,U,2.0
SI,F,1.0
SG,F,1.0
RU,F,2.0
RS,F,1.0
PT,F,1.0
PT,U,1.0
PL,F,1.0
PH,F,2.0
PH,U,2.0
PE,F,2.0
NZ,F,3.0
MX,F,30.0
MX,U,5.0
LT,F,1.0
KR,U,110.0
KR,F,44.333333333333336
KR,I,0.6666666666666666
JP,U,46.5
JP,F,29.5
IL,F,4.0
HU,F,1.0
HR,F,1.0
HK,F,1.0
GB,F,5.0
FI,F,1.0
FI,U,1.0
ES,F,5.0
ES,U,1.0
EP,F,147.33333333333334
EP,U,60.0
EP,I,2.666666666666667
EC,F,1.0
EA,U,2.0
DK,F,6.0
DK,U,2.0
CR,F,1.0
CR,U,1.0
CO,F,7.0
CO,U,1.0
CN,U,732.1666666666667
CN,F,175.83333333333334
CN,I,1.0
CL,F,18.5
CL,U,3.5
CL,I,1.0
CA,F,77.5
CA,U,20.0
CA,I,1.5
BR,F,46.0
BR,U,13.0
BR,I,1.0
AU,F,54.333333333333336
AU,U,22.0
AU,I,1.6666666666666667
AR,F,40.0
AR,U,10.0
