Auth,Year,Count
AR,2017,4
AR,2018,2
AR,2019,5
AR,2020,3
AR,2021,2
AR,2022,10
AR,2023,9
AR,2024,15
AU,2015,1
AU,2017,6
AU,2018,3
AU,2019,10
AU,2020,10
AU,2021,6
AU,2022,11
AU,2023,14
AU,2024,17
BR,2017,3
BR,2018,9
BR,2019,7
BR,2020,10
BR,2021,4
BR,2022,8
BR,2023,18
BR,2024,1
CA,2014,2
CA,2015,3
CA,2016,8
CA,2017,6
CA,2018,11
CA,2019,10
CA,2020,14
CA,2021,18
CA,2022,16
CA,2023,9
CA,2024,2
CL,2016,1
CL,2018,2
CL,2019,2
CL,2020,4
CL,2022,4
CL,2023,3
CL,2024,7
CN,2015,1
CN,2016,4
CN,2017,5
CN,2018,22
CN,2019,36
CN,2020,86
CN,2021,114
CN,2022,168
CN,2023,210
CN,2024,257
CN,2025,12
CO,2018,1
CO,2019,1
CO,2022,3
CO,2023,1
CO,2024,2
CR,2019,1
CR,2023,1
DK,2022,1
DK,2023,2
DK,2024,5
EA,2016,1
EA,2018,4
EA,2019,1
EA,2020,3
EA,2021,3
EC,2024,1
EP,2016,3
EP,2017,3
EP,2018,16
EP,2019,22
EP,2020,21
EP,2021,18
EP,2022,27
EP,2023,39
EP,2024,54
EP,2025,7
ES,2022,1
ES,2023,2
ES,2024,3
FI,2024,2
GB,2016,1
GB,2018,1
GB,2019,2
GB,2022,1
HK,2019,1
HR,2022,1
HU,2022,1
IL,2018,1
IL,2021,3
JP,2016,9
JP,2017,5
JP,2018,16
JP,2019,24
JP,2020,23
JP,2021,25
JP,2022,39
JP,2023,31
JP,2024,31
JP,2025,3
KR,2015,1
KR,2017,2
KR,2018,2
KR,2019,3
KR,2020,6
KR,2021,15
KR,2022,31
KR,2023,55
KR,2024,39
KR,2025,5
LT,2022,1
MX,2016,1
MX,2017,2
MX,2018,3
MX,2019,4
MX,2020,2
MX,2022,9
MX,2023,6
MX,2024,8
NZ,2021,3
PE,2022,1
PE,2024,1
PH,2019,1
PH,2021,1
PH,2023,1
PH,2024,1
PL,2022,1
PT,2022,1
PT,2024,1
RS,2022,1
RU,2019,2
RU,2022,1
SG,2019,1
SI,2022,1
TW,2017,1
TW,2023,1
US,2014,1
US,2015,2
US,2016,6
US,2017,4
US,2018,16
US,2019,58
US,2020,44
US,2021,41
US,2022,37
US,2023,38
US,2024,33
US,2025,3
UY,2017,1
UY,2018,3
UY,2020,2
UY,2021,4
UY,2022,4
UY,2023,1
WO,2014,1
WO,2016,9
WO,2017,19
WO,2018,22
WO,2019,23
WO,2020,22
WO,2021,26
WO,2022,47
WO,2023,34
WO,2024,18
WO,2025,2
